- 22:03/07/2023 08:44:07 PM;
Software:Name=Qtegra;Version=2.10.3324.83;File Version=1;
Configuration:Machine=iCAP RQ;
STDS:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-108.333333333333;Angular Deflection=-370;Deflection Entry Lens=-35;Extraction Lens 1 Polarity=0;Extraction Lens 1 Negative=0;Extraction Lens 1 Positive=0;Spray Chamber Temperature=2.7;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=5;Plasma Power=1550;Auxilliary Flow=0.8;Nebulizer Flow=1.105;Torch Horizontal Position=-0.723333333333333;Torch Vertical Position=0.3;Extraction Lens 2=-130;CCT Focus Lens=-1.08;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=18.8;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-29.4;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130;Virtual CCT Mass to Dac Offset=35;Virtual CCT Mass parameter b=0.65;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-0.793743890518083;Torch Horizontal Position Readback=-0.72316715542522;Torch Vertical Position Readback=0.300879765395894;Sampling Depth Readback=5;Extraction Lens 1 Negative Readback=-200.39100684262;Extraction Lens 1 Positive Readback=0.00977517106549364;Extraction Lens 2 Readback=-137.82991202346;Angular Deflection Readback=-369.560117302053;Quad Entry Lens Readback=-29.7165200391007;Focus Lens Readback=18.3724340175953;D2 Lens Readback=-80.9384164222874;Deflection Exit Lens Readback=34.6578690127077;Deflection Entry Lens Readback=-35.425219941349;D1 Lens Readback=-200.58651026393;CCT Exit Lens Readback=-162.512218963832;CCT Bias Readback=-2.01857282502444;CCT Entry Lens Readback=-109.237536656891;CCT Focus Lens Readback=-1.40273704789833;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.02512396424301;Analyzer Pressure Readback=2.24603955216639E-07;
Detector:Detector Voltage (Counting) Readback=1618.76832844575;Detector Voltage (Analog) Readback=-1978.49462365591;
Cooling System:Plasma Cooling Water Flow Readback=0.909803921568627;Interface Temperature Readback=31.2178705615847;Exhaust Flow Readback=0.550695014662757;Quad Board Temperature Readback=0;Inlet Fan Speed Readback=0;Outlet Fan Speed Readback=2447.05882352941;Peltier Temperature Hot Side Readback=20.7862437909878;Spray Chamber Temperature Readback=2.6293915694153;
Power Supply:Supply Voltage 500 V Readback=-539.467253176931;Supply Voltage 1 kV Readback=-1169.35483870968;
Gas Supply:Nebulizer Supply Pressure Readback=0.0564456989247311;Nebulizer Flow Readback=1.10117302052786;Cool Flow Readback=13.919843597263;Auxilliary Flow Readback=0.796187683284457;CCT2 Flow Readback=0;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,24Mg,26Mg,43Ca,55Mn,59Co,63Cu,66Zn,86Sr,88Sr,138Ba,208Pb,
,dwell time=0.01;xcal factor=66096.21568,dwell time=0.01;xcal factor=66420.50783,dwell time=0.01;xcal factor=69176.99106,dwell time=0.01;xcal factor=80139.50903,dwell time=0.01;xcal factor=85118.72235,dwell time=0.01;xcal factor=86639.08057,dwell time=0.01;xcal factor=86821.65425,dwell time=0.01;xcal factor=85302.89892,dwell time=0.01;xcal factor=82608.9753,dwell time=0.01;xcal factor=93538.82005,dwell time=0.01;xcal factor=107923.33534,
0.0125,0,200.0016000128,100.0004000016,1600.10240655402,0,0,200.0016000128,1000.04000160006,0,0,0,
0.13881,0,400.006400102402,100.0004000016,1000.04000160006,400.006400102402,0,0,1100.04840212969,0,0,0,
0.26517,100.0004000016,600.014400345608,0,1200.05760276493,300.003600043201,100.0004000016,100.0004000016,1200.05760276493,0,0,0,
0.39145,0,500.010000200004,300.003600043201,2300.21161946899,500.010000200004,0,0,1700.11560786133,0,0,0,
0.51768,0,300.003600043201,0,700.019600548815,200.0016000128,0,100.0004000016,1700.11560786133,0,0,0,
0.64396,0,500.010000200004,200.0016000128,400.006400102402,200.0016000128,0,100.0004000016,1000.04000160006,0,0,0,
0.77024,0,400.006400102402,100.0004000016,1700.11560786133,100.0004000016,100.0004000016,0,1600.10240655402,0,0,0,
0.89652,0,800.025600819226,100.0004000016,900.032401166442,100.0004000016,200.0016000128,100.0004000016,1300.06760351538,0,0,0,
1.0228,0,200.0016000128,100.0004000016,2000.16001280102,300.003600043201,100.0004000016,0,1100.04840212969,0,0,0,
1.14909,0,900.032401166442,0,1200.05760276493,0,0,0,800.025600819226,0,0,0,
1.27526,0,200.0016000128,300.003600043201,1600.10240655402,100.0004000016,100.0004000016,100.0004000016,1100.04840212969,0,0,0,
1.40149,0,400.006400102402,300.003600043201,1800.12960933187,0,0,100.0004000016,1500.09000540032,0,0,0,
1.52775,0,600.014400345608,100.0004000016,800.025600819226,300.003600043201,100.0004000016,100.0004000016,1600.10240655402,0,0,0,
1.65399,0,100.0004000016,200.0016000128,1500.09000540032,200.0016000128,100.0004000016,200.0016000128,1000.04000160006,0,0,0,
1.78024,0,500.010000200004,0,1400.07840439065,300.003600043201,100.0004000016,100.0004000016,1100.04840212969,0,0,0,
1.90649,0,200.0016000128,0,1300.06760351538,0,100.0004000016,0,800.025600819226,0,0,0,
2.03267,0,300.003600043201,400.006400102402,800.025600819226,0,0,200.0016000128,1300.06760351538,0,0,0,
2.15895,0,700.019600548815,0,900.032401166442,200.0016000128,100.0004000016,100.0004000016,1300.06760351538,0,0,0,
2.28524,0,500.010000200004,0,1800.12960933187,100.0004000016,100.0004000016,100.0004000016,900.032401166442,0,0,0,
2.41153,0,700.019600548815,200.0016000128,1700.11560786133,300.003600043201,100.0004000016,100.0004000016,900.032401166442,0,0,0,
2.5378,0,600.014400345608,300.003600043201,1300.06760351538,100.0004000016,0,100.0004000016,1000.04000160006,0,0,0,
2.66407,100.0004000016,700.019600548815,300.003600043201,1800.12960933187,100.0004000016,100.0004000016,200.0016000128,1300.06760351538,0,0,0,
2.79021,0,700.019600548815,0,700.019600548815,100.0004000016,0,0,1300.06760351538,0,0,0,
2.91634,0,400.006400102402,200.0016000128,1400.07840439065,100.0004000016,0,0,1800.12960933187,0,0,0,
3.04255,0,500.010000200004,100.0004000016,1200.05760276493,200.0016000128,0,100.0004000016,700.019600548815,0,0,0,
3.16879,100.0004000016,500.010000200004,200.0016000128,2000.16001280102,0,200.0016000128,100.0004000016,1200.05760276493,0,0,0,
3.29502,0,300.003600043201,0,1700.11560786133,0,100.0004000016,100.0004000016,1500.09000540032,0,0,0,
3.4213,0,300.003600043201,400.006400102402,1500.09000540032,100.0004000016,100.0004000016,0,1000.04000160006,0,0,0,
3.54765,0,500.010000200004,0,900.032401166442,200.0016000128,100.0004000016,100.0004000016,2100.17641481884,0,0,0,
3.67385,0,600.014400345608,0,1300.06760351538,100.0004000016,100.0004000016,0,1000.04000160006,0,0,0,
3.80016,100.0004000016,300.003600043201,0,800.025600819226,0,100.0004000016,0,600.014400345608,0,0,0,
3.92644,0,300.003600043201,200.0016000128,1700.11560786133,300.003600043201,0,100.0004000016,700.019600548815,0,0,0,
4.05269,0,900.032401166442,200.0016000128,800.025600819226,100.0004000016,0,200.0016000128,800.025600819226,0,0,0,
4.179,0,400.006400102402,100.0004000016,1200.05760276493,200.0016000128,100.0004000016,0,1000.04000160006,0,0,0,
4.30524,0,200.0016000128,0,1100.04840212969,100.0004000016,200.0016000128,0,600.014400345608,0,0,0,
4.43143,0,500.010000200004,200.0016000128,1300.06760351538,300.003600043201,200.0016000128,0,1200.05760276493,0,0,0,
4.55776,0,600.014400345608,100.0004000016,1200.05760276493,100.0004000016,0,0,1900.14441097523,0,0,0,
4.68399,0,400.006400102402,300.003600043201,1300.06760351538,300.003600043201,0,0,700.019600548815,0,0,0,
4.81029,0,100.0004000016,500.010000200004,800.025600819226,100.0004000016,100.0004000016,100.0004000016,900.032401166442,0,0,0,
4.93654,0,600.014400345608,200.0016000128,1300.06760351538,200.0016000128,0,0,1200.05760276493,0,0,0,
5.06274,0,300.003600043201,100.0004000016,1900.14441097523,200.0016000128,0,0,900.032401166442,0,0,0,
5.18896,0,300.003600043201,0,800.025600819226,0,100.0004000016,100.0004000016,1000.04000160006,0,0,0,
5.31519,0,300.003600043201,100.0004000016,900.032401166442,0,0,0,1100.04840212969,0,0,0,
5.44147,0,500.010000200004,500.010000200004,1200.05760276493,300.003600043201,0,0,1500.09000540032,0,0,0,
5.56762,200.0016000128,600.014400345608,200.0016000128,1400.07840439065,0,100.0004000016,0,900.032401166442,0,0,0,
5.69386,0,400.006400102402,0,1000.04000160006,100.0004000016,100.0004000016,0,800.025600819226,0,0,0,
5.82015,0,500.010000200004,100.0004000016,1300.06760351538,100.0004000016,0,0,1100.04840212969,0,0,0,
5.94637,0,400.006400102402,500.010000200004,1200.05760276493,0,0,0,1300.06760351538,0,0,0,
6.07264,0,400.006400102402,100.0004000016,1100.04840212969,100.0004000016,100.0004000016,100.0004000016,1000.04000160006,0,0,0,
6.19893,0,400.006400102402,200.0016000128,1300.06760351538,100.0004000016,100.0004000016,100.0004000016,1000.04000160006,0,0,0,
6.32516,0,100.0004000016,100.0004000016,1200.05760276493,100.0004000016,0,0,1200.05760276493,0,0,0,
6.45143,0,100.0004000016,100.0004000016,1000.04000160006,400.006400102402,0,0,1200.05760276493,0,0,0,
6.57766,0,200.0016000128,100.0004000016,1700.11560786133,300.003600043201,200.0016000128,0,900.032401166442,0,0,0,
6.70391,0,300.003600043201,0,1200.05760276493,200.0016000128,0,100.0004000016,1000.04000160006,0,0,0,
6.83022,0,300.003600043201,100.0004000016,1000.04000160006,400.006400102402,0,0,1100.04840212969,0,0,0,
6.9565,0,400.006400102402,0,1300.06760351538,100.0004000016,0,0,800.025600819226,0,100.0004000016,0,
7.08279,0,400.006400102402,300.003600043201,1400.07840439065,0,200.0016000128,0,1000.04000160006,0,0,0,
7.20904,0,300.003600043201,200.0016000128,1800.12960933187,500.010000200004,0,0,1200.05760276493,0,0,0,
7.33536,0,400.006400102402,100.0004000016,1100.04840212969,200.0016000128,0,100.0004000016,900.032401166442,0,0,0,
7.46164,0,200.0016000128,200.0016000128,1300.06760351538,0,100.0004000016,0,1500.09000540032,0,0,0,
7.58791,0,500.010000200004,0,1400.07840439065,200.0016000128,0,0,600.014400345608,0,0,0,
7.7142,0,600.014400345608,400.006400102402,1100.04840212969,0,200.0016000128,100.0004000016,1000.04000160006,100.0004000016,0,0,
7.84043,0,400.006400102402,100.0004000016,1300.06760351538,300.003600043201,100.0004000016,200.0016000128,900.032401166442,0,0,0,
7.9667,0,500.010000200004,0,1800.12960933187,100.0004000016,0,0,1500.09000540032,0,0,0,
8.09286,0,600.014400345608,300.003600043201,1300.06760351538,200.0016000128,0,0,1200.05760276493,0,0,0,
8.21901,100.0004000016,400.006400102402,0,1300.06760351538,0,200.0016000128,0,1400.07840439065,0,0,0,
8.34525,100.0004000016,500.010000200004,200.0016000128,1000.04000160006,100.0004000016,200.0016000128,0,1300.06760351538,0,0,0,
8.47153,0,200.0016000128,100.0004000016,2100.17641481884,300.003600043201,0,0,1500.09000540032,0,0,0,
8.59785,0,500.010000200004,200.0016000128,1200.05760276493,100.0004000016,0,0,1300.06760351538,0,0,100.0004000016,
8.72416,0,700.019600548815,500.010000200004,1000.04000160006,0,0,100.0004000016,1100.04840212969,0,0,0,
8.8504,0,700.019600548815,400.006400102402,1500.09000540032,100.0004000016,100.0004000016,0,700.019600548815,0,0,0,
8.97667,0,400.006400102402,200.0016000128,1400.07840439065,100.0004000016,100.0004000016,200.0016000128,700.019600548815,0,0,0,
9.10295,0,500.010000200004,200.0016000128,1700.11560786133,100.0004000016,0,100.0004000016,1000.04000160006,0,0,0,
9.22918,0,400.006400102402,100.0004000016,2100.17641481884,100.0004000016,100.0004000016,0,1200.05760276493,0,0,0,
9.35546,0,300.003600043201,200.0016000128,900.032401166442,300.003600043201,100.0004000016,200.0016000128,700.019600548815,0,0,0,
9.48174,0,300.003600043201,100.0004000016,1400.07840439065,100.0004000016,0,100.0004000016,900.032401166442,0,0,0,
9.60802,0,300.003600043201,0,1500.09000540032,500.010000200004,0,0,500.010000200004,0,0,0,
9.73428,0,600.014400345608,0,1700.11560786133,300.003600043201,200.0016000128,0,1200.05760276493,0,0,0,
9.86059,0,500.010000200004,100.0004000016,1900.14441097523,100.0004000016,100.0004000016,100.0004000016,1100.04840212969,0,0,0,
9.98679,0,200.0016000128,200.0016000128,2000.16001280102,100.0004000016,200.0016000128,0,1300.06760351538,0,0,0,
10.11304,0,500.010000200004,100.0004000016,1900.14441097523,100.0004000016,100.0004000016,200.0016000128,700.019600548815,0,0,0,
10.23928,0,500.010000200004,100.0004000016,1100.04840212969,100.0004000016,0,100.0004000016,1600.10240655402,0,0,0,
10.3655,100.0004000016,300.003600043201,200.0016000128,1000.04000160006,200.0016000128,100.0004000016,0,900.032401166442,0,0,0,
10.4917,0,300.003600043201,300.003600043201,800.025600819226,300.003600043201,100.0004000016,0,1600.10240655402,0,0,0,
10.61793,0,100.0004000016,0,1100.04840212969,300.003600043201,200.0016000128,0,900.032401166442,0,200.0016000128,0,
10.74409,0,400.006400102402,200.0016000128,1900.14441097523,100.0004000016,100.0004000016,100.0004000016,1500.09000540032,0,0,0,
10.87025,0,400.006400102402,200.0016000128,1400.07840439065,300.003600043201,100.0004000016,0,1300.06760351538,0,0,0,
10.99647,0,300.003600043201,0,2000.16001280102,0,0,0,700.019600548815,0,0,0,
11.12284,0,100.0004000016,300.003600043201,1600.10240655402,0,0,100.0004000016,800.025600819226,0,0,0,
11.2491,0,200.0016000128,200.0016000128,1100.04840212969,100.0004000016,100.0004000016,100.0004000016,1300.06760351538,0,0,0,
11.37539,0,300.003600043201,200.0016000128,1700.11560786133,300.003600043201,0,100.0004000016,1300.06760351538,0,0,0,
11.50159,100.0004000016,700.019600548815,100.0004000016,1300.06760351538,200.0016000128,0,100.0004000016,1000.04000160006,0,0,0,
11.6279,0,600.014400345608,0,1600.10240655402,100.0004000016,0,200.0016000128,500.010000200004,0,0,0,
11.75407,100.0004000016,500.010000200004,100.0004000016,1400.07840439065,0,100.0004000016,100.0004000016,800.025600819226,0,0,0,
11.88038,0,400.006400102402,0,1600.10240655402,200.0016000128,0,100.0004000016,100.0004000016,0,0,0,
12.00663,0,400.006400102402,200.0016000128,300.003600043201,100.0004000016,0,0,900.032401166442,0,0,0,
12.13293,100.0004000016,300.003600043201,200.0016000128,1700.11560786133,100.0004000016,100.0004000016,100.0004000016,500.010000200004,0,0,0,
12.25919,0,400.006400102402,100.0004000016,1000.04000160006,100.0004000016,0,0,1000.04000160006,0,0,0,
12.38544,100.0004000016,400.006400102402,200.0016000128,1700.11560786133,0,200.0016000128,0,1500.09000540032,0,0,0,
12.51164,0,500.010000200004,100.0004000016,1700.11560786133,400.006400102402,100.0004000016,100.0004000016,600.014400345608,0,0,0,
12.63793,0,200.0016000128,0,1400.07840439065,100.0004000016,100.0004000016,0,700.019600548815,0,0,0,
12.76414,0,0,0,1800.12960933187,100.0004000016,0,0,500.010000200004,0,0,0,
12.89037,0,400.006400102402,100.0004000016,1600.10240655402,200.0016000128,0,100.0004000016,600.014400345608,0,0,0,
13.01665,0,100.0004000016,200.0016000128,800.025600819226,100.0004000016,0,0,1200.05760276493,0,0,0,
13.14289,0,400.006400102402,200.0016000128,1900.14441097523,300.003600043201,0,0,1000.04000160006,0,0,0,
13.26916,0,200.0016000128,0,1600.10240655402,200.0016000128,100.0004000016,0,1400.07840439065,0,0,0,
13.39532,0,300.003600043201,100.0004000016,1300.06760351538,100.0004000016,100.0004000016,0,700.019600548815,0,0,0,
